"Time","helm"
2025-09-15 15:24:00,508 MiB
2025-09-15 15:25:00,255 MiB
2025-09-15 15:26:00,1.48 GiB
2025-09-15 15:27:00,1.53 GiB
2025-09-15 15:28:00,1.63 GiB
2025-09-15 15:29:00,1.66 GiB
2025-09-15 15:30:00,1.69 GiB
2025-09-15 15:31:00,300 MiB
