"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-15 15:24:00,0
2025-09-15 15:24:15,0
2025-09-15 15:24:30,0
2025-09-15 15:24:45,0
2025-09-15 15:25:00,0
2025-09-15 15:25:15,0
2025-09-15 15:25:30,0
2025-09-15 15:25:45,5
2025-09-15 15:26:00,5
2025-09-15 15:26:15,5
2025-09-15 15:26:30,5
2025-09-15 15:26:45,5
2025-09-15 15:27:00,5
2025-09-15 15:27:15,5
2025-09-15 15:27:30,5
2025-09-15 15:27:45,5
2025-09-15 15:28:00,5
2025-09-15 15:28:15,5
2025-09-15 15:28:30,5
2025-09-15 15:28:45,5
2025-09-15 15:29:00,5
2025-09-15 15:29:15,5
2025-09-15 15:29:30,5
2025-09-15 15:29:45,5
2025-09-15 15:30:00,5
2025-09-15 15:30:15,0
2025-09-15 15:30:30,0
2025-09-15 15:30:45,0
2025-09-15 15:31:00,0
