"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-15 10:43:00,0
2025-09-15 10:43:15,0
2025-09-15 10:43:30,0
2025-09-15 10:43:45,0
2025-09-15 10:44:00,0
2025-09-15 10:44:15,0
2025-09-15 10:44:30,0
2025-09-15 10:44:45,5
2025-09-15 10:45:00,5
2025-09-15 10:45:15,5
2025-09-15 10:45:30,5
2025-09-15 10:45:45,5
2025-09-15 10:46:00,5
2025-09-15 10:46:15,5
2025-09-15 10:46:30,5
2025-09-15 10:46:45,5
2025-09-15 10:47:00,5
2025-09-15 10:47:15,5
2025-09-15 10:47:30,5
2025-09-15 10:47:45,5
2025-09-15 10:48:00,5
2025-09-15 10:48:15,5
2025-09-15 10:48:30,5
2025-09-15 10:48:45,5
2025-09-15 10:49:00,5
2025-09-15 10:49:15,5
2025-09-15 10:49:30,5
2025-09-15 10:49:45,0
2025-09-15 10:50:00,0
