"Time","{__name__=""bitrate"", job=""dash-js-internals-exporter"", pageUrl=""https://192.168.14.161:30064/?type=dash&url=https://192.168.14.161:30066/360_mono.mpd"", peerConnectionId=""1_video""}","{__name__=""bufferLevel"", job=""dash-js-internals-exporter"", pageUrl=""https://192.168.14.161:30064/?type=dash&url=https://192.168.14.161:30066/360_mono.mpd"", peerConnectionId=""1_video""}","{__name__=""liveLatency"", job=""dash-js-internals-exporter"", pageUrl=""https://192.168.14.161:30064/?type=dash&url=https://192.168.14.161:30066/360_mono.mpd"", peerConnectionId=""1_video""}","{__name__=""droppedFrames"", job=""dash-js-internals-exporter"", pageUrl=""https://192.168.14.161:30064/?type=dash&url=https://192.168.14.161:30066/360_mono.mpd"", peerConnectionId=""1_video""}","{__name__=""frameheight"", job=""dash-js-internals-exporter"", pageUrl=""https://192.168.14.161:30064/?type=dash&url=https://192.168.14.161:30066/360_mono.mpd"", peerConnectionId=""1_video""}"
2025-09-15 10:43:00,15000,0,2536,2797,1080
2025-09-15 10:43:01,15000,0,2536,2797,1080
2025-09-15 10:43:02,15000,0,2536,2797,1080
2025-09-15 10:43:03,15000,0,2536,2797,1080
2025-09-15 10:43:04,15000,0,2536,2797,1080
2025-09-15 10:43:05,15000,0,2536,2797,1080
2025-09-15 10:43:06,15000,0,2536,2797,1080
2025-09-15 10:43:07,15000,0,2536,2797,1080
2025-09-15 10:43:08,15000,0,2536,2797,1080
2025-09-15 10:43:09,15000,0,2536,2797,1080
2025-09-15 10:43:10,15000,0,2536,2797,1080
2025-09-15 10:43:11,15000,0,2536,2797,1080
2025-09-15 10:43:12,15000,0,2536,2797,1080
2025-09-15 10:43:13,15000,0,2536,2797,1080
2025-09-15 10:43:14,15000,0,2536,2797,1080
2025-09-15 10:43:15,15000,0,2596,2797,1080
2025-09-15 10:43:16,15000,0,2596,2797,1080
2025-09-15 10:43:17,15000,0,2596,2797,1080
2025-09-15 10:43:18,15000,0,2596,2797,1080
2025-09-15 10:43:19,15000,0,2596,2797,1080
2025-09-15 10:43:20,15000,0,2596,2797,1080
2025-09-15 10:43:21,15000,0,2596,2797,1080
2025-09-15 10:43:22,15000,0,2596,2797,1080
2025-09-15 10:43:23,15000,0,2596,2797,1080
2025-09-15 10:43:24,15000,0,2596,2797,1080
2025-09-15 10:43:25,15000,0,2596,2797,1080
2025-09-15 10:43:26,15000,0,2596,2797,1080
2025-09-15 10:43:27,15000,0,2596,2797,1080
2025-09-15 10:43:28,15000,0,2596,2797,1080
2025-09-15 10:43:29,15000,0,2596,2797,1080
2025-09-15 10:43:30,15000,0,2596,2797,1080
2025-09-15 10:43:31,15000,0,2596,2797,1080
2025-09-15 10:43:32,15000,0,2596,2797,1080
2025-09-15 10:43:33,15000,0,2596,2797,1080
2025-09-15 10:43:34,15000,0,2596,2797,1080
2025-09-15 10:43:35,15000,0,2596,2797,1080
2025-09-15 10:43:36,15000,0,2596,2797,1080
2025-09-15 10:43:37,15000,0,2596,2797,1080
2025-09-15 10:43:38,15000,0,2596,2797,1080
2025-09-15 10:43:39,15000,0,2596,2797,1080
2025-09-15 10:43:40,15000,0,2596,2797,1080
2025-09-15 10:43:41,15000,0,2596,2797,1080
2025-09-15 10:43:42,15000,0,2596,2797,1080
2025-09-15 10:43:43,15000,0,2596,2797,1080
2025-09-15 10:43:44,15000,0,2596,2797,1080
2025-09-15 10:43:45,15000,0,2596,2797,1080
