"Time","{codecId=""CIT01_111_minptime=10;useinbandfec=1"", id=""IT01A2146278940"", job=""webrtc-internals-exporter"", kind=""audio"", mediaType=""audio"", mid=""3"", pageUrl=""https://192.168.14.161:30064/?type=webrtc_360"", peerConnectionId=""05934f15-1f9f-4fed-98da-21fea0e38667"", playoutId=""AP"", remoteId=""ROA2146278940"", trackIdentifier=""6a36cc6d-815e-4007-9015-44258d7da73e"", transportId=""T01"", type=""inbound-rtp""}","{__name__=""inbound_rtp_packetsLost"", codecId=""CIT01_111_minptime=10;useinbandfec=1"", id=""IT01A2146278940"", job=""webrtc-internals-exporter"", kind=""audio"", mediaType=""audio"", mid=""3"", pageUrl=""https://192.168.14.161:30064/?type=webrtc_360"", peerConnectionId=""05934f15-1f9f-4fed-98da-21fea0e38667"", playoutId=""AP"", remoteId=""ROA2146278940"", trackIdentifier=""6a36cc6d-815e-4007-9015-44258d7da73e"", transportId=""T01"", type=""inbound-rtp""}","{__name__=""inbound_rtp_jitter"", codecId=""CIT01_111_minptime=10;useinbandfec=1"", id=""IT01A2146278940"", job=""webrtc-internals-exporter"", kind=""audio"", mediaType=""audio"", mid=""3"", pageUrl=""https://192.168.14.161:30064/?type=webrtc_360"", peerConnectionId=""05934f15-1f9f-4fed-98da-21fea0e38667"", playoutId=""AP"", remoteId=""ROA2146278940"", trackIdentifier=""6a36cc6d-815e-4007-9015-44258d7da73e"", transportId=""T01"", type=""inbound-rtp""}","{codecId=""CIT01_111_minptime=10;useinbandfec=1"", id=""IT01A2146278940"", job=""webrtc-internals-exporter"", kind=""audio"", mediaType=""audio"", mid=""3"", pageUrl=""https://192.168.14.161:30064/?type=webrtc_360"", peerConnectionId=""05934f15-1f9f-4fed-98da-21fea0e38667"", playoutId=""AP"", remoteId=""ROA2146278940"", trackIdentifier=""6a36cc6d-815e-4007-9015-44258d7da73e"", transportId=""T01"", type=""inbound-rtp""}","{codecId=""CIT01_111_minptime=10;useinbandfec=1"", id=""IT01A2146278940"", job=""webrtc-internals-exporter"", kind=""audio"", mediaType=""audio"", mid=""3"", pageUrl=""https://192.168.14.161:30064/?type=webrtc_360"", peerConnectionId=""05934f15-1f9f-4fed-98da-21fea0e38667"", playoutId=""AP"", remoteId=""ROA2146278940"", trackIdentifier=""6a36cc6d-815e-4007-9015-44258d7da73e"", transportId=""T01"", type=""inbound-rtp""}","{__name__=""inbound_rtp_totalSamplesDuration"", codecId=""CIT01_111_minptime=10;useinbandfec=1"", id=""IT01A2146278940"", job=""webrtc-internals-exporter"", kind=""audio"", mediaType=""audio"", mid=""3"", pageUrl=""https://192.168.14.161:30064/?type=webrtc_360"", peerConnectionId=""05934f15-1f9f-4fed-98da-21fea0e38667"", playoutId=""AP"", remoteId=""ROA2146278940"", trackIdentifier=""6a36cc6d-815e-4007-9015-44258d7da73e"", transportId=""T01"", type=""inbound-rtp""}","{__name__=""inbound_rtp_audioLevel"", codecId=""CIT01_111_minptime=10;useinbandfec=1"", id=""IT01A2146278940"", job=""webrtc-internals-exporter"", kind=""audio"", mediaType=""audio"", mid=""3"", pageUrl=""https://192.168.14.161:30064/?type=webrtc_360"", peerConnectionId=""05934f15-1f9f-4fed-98da-21fea0e38667"", playoutId=""AP"", remoteId=""ROA2146278940"", trackIdentifier=""6a36cc6d-815e-4007-9015-44258d7da73e"", transportId=""T01"", type=""inbound-rtp""}"
2025-09-11 12:56:42,201781,1,0.00700,0.0548,50.3,47.4,0.229
2025-09-11 12:56:43,200285,1,0.00800,0.0548,50,48.4,0.00720
2025-09-11 12:56:44,204379,1,0.00800,0.0553,50.7,49.4,0.103
2025-09-11 12:56:45,204221,1,0.00700,0.0561,50.7,50.4,0.0392
2025-09-11 12:56:46,202379,1,0.00800,0.0569,50.3,51.4,0.0120
2025-09-11 12:56:47,199099,1,0.00800,0.0576,50,52.4,0.161
2025-09-11 12:56:48,197827,1,0.00700,0.0583,49.7,53.4,0.0184
2025-09-11 12:56:49,202387,1,0.00700,0.0589,50.3,54.4,0.406
2025-09-11 12:56:50,198323,3,0.00800,0.0593,49.3,55.4,0.0957
2025-09-11 12:56:51,198011,3,0.00900,0.0598,49.3,56.4,0.0172
2025-09-11 12:56:52,195189,3,0.00900,0.0602,49,57.4,0.0234
2025-09-11 12:56:53,198437,3,0.00700,0.0606,49.7,58.4,0.00995
2025-09-11 12:56:54,200091,3,0.00900,0.0610,50,59.4,0.0309
2025-09-11 12:56:55,200496,3,0.00800,0.0614,50,60.4,0.0103
2025-09-11 12:56:56,202075,3,0.00800,0.0618,50.3,61.4,0.424
2025-09-11 12:56:57,201736,3,0.00600,0.0621,50.7,62.4,0.00735
2025-09-11 12:56:58,201523,3,0.00800,0.0625,50.7,63.4,0.0991
2025-09-11 12:56:59,198760,3,0.00800,0.0628,50,64.4,0.00681
2025-09-11 12:57:00,199072,3,0.00700,0.0631,49.7,65.4,0.0549
2025-09-11 12:57:01,201733,3,0.00900,0.0634,50,66.4,0.170
2025-09-11 12:57:02,201864,3,0.00800,0.0637,50.3,67.4,0.0132
2025-09-11 12:57:03,202520,3,0.00700,0.0640,50.3,68.4,0.222
2025-09-11 12:57:04,200115,3,0.00800,0.0643,50,69.4,0.0599
2025-09-11 12:57:05,200280,3,0.00800,0.0646,50,70.4,0.0501
2025-09-11 12:57:06,199072,3,0.00800,0.0648,49.7,71.4,0.0102
2025-09-11 12:57:07,199152,3,0.00700,0.0651,49.7,72.4,0.0960
2025-09-11 12:57:08,196880,5,0.00800,0.0653,49,73.4,0.0122
2025-09-11 12:57:09,197147,5,0.00700,0.0656,49.3,74.4,0.00711
2025-09-11 12:57:10,198037,5,0.00700,0.0658,49.7,75.4,0.0686
2025-09-11 12:57:11,200904,5,0.00800,0.0661,50,76.4,0.0721
2025-09-11 12:57:12,200291,5,0.00800,0.0663,50,77.4,0.00870
2025-09-11 12:57:13,199949,5,0.00700,0.0665,49.7,78.4,0.267
2025-09-11 12:57:14,193568,10,0.00700,0.0667,48.7,79.4,0.126
2025-09-11 12:57:15,194835,10,0.00800,0.0670,49,80.4,0.0253
2025-09-11 12:57:16,185285,10,0.00600,0.0672,48.7,81.4,0.00613
2025-09-11 12:57:17,184243,10,0.00800,0.0674,50,82.4,0.689
2025-09-11 12:57:18,176944,10,0.00900,0.0676,49.7,83.4,0.248
2025-09-11 12:57:19,180016,12,0.00800,0.0677,49.7,84.4,0.0190
2025-09-11 12:57:20,181560,12,0.00800,0.0679,49.7,85.4,0.00751
2025-09-11 12:57:21,174160,12,0.00700,0.0681,49.3,86.4,0.00720
2025-09-11 12:57:22,173992,12,0.00800,0.0683,49.7,87.4,0.231
2025-09-11 12:57:23,177552,12,0.00800,0.0684,49.7,88.4,0.0136
