"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-11 15:38:15,0
2025-09-11 15:38:30,0
2025-09-11 15:38:45,0
2025-09-11 15:39:00,0
2025-09-11 15:39:15,0
2025-09-11 15:39:30,0
2025-09-11 15:39:45,13
2025-09-11 15:40:00,13
2025-09-11 15:40:15,25
2025-09-11 15:40:30,25
2025-09-11 15:40:45,19
2025-09-11 15:41:00,19
2025-09-11 15:41:15,19
2025-09-11 15:41:30,19
2025-09-11 15:41:45,19
2025-09-11 15:42:00,19
2025-09-11 15:42:15,18
2025-09-11 15:42:30,18
2025-09-11 15:42:45,19
2025-09-11 15:43:00,19
2025-09-11 15:43:15,19
2025-09-11 15:43:30,19
2025-09-11 15:43:45,19
2025-09-11 15:44:00,19
2025-09-11 15:44:15,19
2025-09-11 15:44:30,19
2025-09-11 15:44:45,0
2025-09-11 15:45:00,0
