"Time","{DCGM_FI_DRIVER_VERSION=""535.216.01"", Hostname=""6gxr-testbed"", UUID=""GPU-09fc1ec0-62e4-11f0-afef-fd7637b115dc"", __name__=""DCGM_FI_DEV_GPU_UTIL"", container=""helm"", device=""nvidia0"", gpu=""0"", instance=""10.244.0.6:9400"", job=""gpu-metrics"", kubernetes_node=""6gxr-testbed"", modelName=""NVIDIA L4-8Q"", namespace=""vicom-renderer"", pci_bus_id=""00000000:00:05.0"", pod=""remote-renderer-helm""}"
2025-09-08 13:45:00,0
2025-09-08 13:45:15,0
2025-09-08 13:45:30,0
2025-09-08 13:45:45,0
2025-09-08 13:46:00,0
2025-09-08 13:46:15,0
2025-09-08 13:46:30,0
2025-09-08 13:46:45,9
2025-09-08 13:47:00,9
2025-09-08 13:47:15,25
2025-09-08 13:47:30,25
2025-09-08 13:47:45,17
2025-09-08 13:48:00,17
2025-09-08 13:48:15,18
2025-09-08 13:48:30,18
2025-09-08 13:48:45,17
2025-09-08 13:49:00,17
2025-09-08 13:49:15,17
2025-09-08 13:49:30,17
2025-09-08 13:49:45,18
2025-09-08 13:50:00,18
2025-09-08 13:50:15,17
2025-09-08 13:50:30,17
2025-09-08 13:50:45,17
2025-09-08 13:51:00,17
2025-09-08 13:51:15,16
2025-09-08 13:51:30,16
2025-09-08 13:51:45,0
2025-09-08 13:52:00,0
