"Time","helm"
2025-09-11 15:52:00,1.16 GiB
2025-09-11 15:53:00,1.16 GiB
2025-09-11 15:54:00,2.14 GiB
2025-09-11 15:55:00,2.30 GiB
2025-09-11 15:56:00,2.30 GiB
2025-09-11 15:57:00,2.30 GiB
2025-09-11 15:58:00,2.30 GiB
