"Time","helm"
2025-09-15 15:40:00,256 MiB
2025-09-15 15:41:00,1.51 GiB
2025-09-15 15:42:00,1.62 GiB
2025-09-15 15:43:00,1.64 GiB
2025-09-15 15:44:00,1.67 GiB
2025-09-15 15:45:00,1.70 GiB
2025-09-15 15:46:00,312 MiB
2025-09-15 15:47:00,311 MiB
