"Time","{__name__=""bitrate"", job=""dash-js-internals-exporter"", pageUrl=""https://192.168.14.161:30064/?type=dash&url=https://192.168.14.161:30066/360_mono.mpd"", peerConnectionId=""1_audio""}","{__name__=""bufferLevel"", job=""dash-js-internals-exporter"", pageUrl=""https://192.168.14.161:30064/?type=dash&url=https://192.168.14.161:30066/360_mono.mpd"", peerConnectionId=""1_audio""}"
2025-09-15 15:40:22,7,2.00
2025-09-15 15:40:23,7,3.57
2025-09-15 15:40:24,7,4.38
2025-09-15 15:40:25,7,5.44
2025-09-15 15:40:26,7,6.37
2025-09-15 15:40:27,7,5.57
2025-09-15 15:40:28,7,6.42
2025-09-15 15:40:29,7,5.45
2025-09-15 15:40:30,7,4.38
2025-09-15 15:40:31,7,5.54
2025-09-15 15:40:32,7,6.46
2025-09-15 15:40:33,7,5.46
2025-09-15 15:40:34,7,6.39
2025-09-15 15:40:35,7,5.59
2025-09-15 15:40:36,7,6.38
2025-09-15 15:40:37,7,5.47
2025-09-15 15:40:38,7,4.40
2025-09-15 15:40:39,7,5.60
2025-09-15 15:40:40,7,6.54
2025-09-15 15:40:41,7,5.47
2025-09-15 15:40:42,7,6.38
2025-09-15 15:40:43,7,5.35
2025-09-15 15:40:44,7,6.51
2025-09-15 15:40:45,7,5.48
2025-09-15 15:40:46,7,6.37
2025-09-15 15:40:47,7,5.36
2025-09-15 15:40:48,7,4.56
2025-09-15 15:40:49,7,5.49
2025-09-15 15:40:50,7,4.43
2025-09-15 15:40:51,7,5.37
2025-09-15 15:40:52,7,4.57
2025-09-15 15:40:53,7,5.50
2025-09-15 15:40:54,7,6.44
2025-09-15 15:40:55,7,5.38
2025-09-15 15:40:56,7,6.34
2025-09-15 15:40:57,7,5.51
2025-09-15 15:40:58,7,6.35
2025-09-15 15:40:59,7,5.38
2025-09-15 15:41:00,7,4.32
2025-09-15 15:41:01,7,5.52
2025-09-15 15:41:02,7,4.46
2025-09-15 15:41:03,7,5.39
