"Time","helm"
2025-09-10 10:13:00,238 MiB
2025-09-10 10:14:00,92.6 MiB
2025-09-10 10:15:00,1.06 GiB
2025-09-10 10:16:00,1.26 GiB
2025-09-10 10:17:00,1.25 GiB
2025-09-10 10:18:00,1.25 GiB
2025-09-10 10:19:00,1.25 GiB
